id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
31088,FCMK,small_airport,"Kele Kibangou Airport",-3.316999912261963,12.616999626159668,902,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,"Kele Kibangou",0,FCMK,,,,,,,50,2008-08-03T11:29:46+00:00
31740,FCOK,small_airport,"Kelle Airport",-0.071271,14.506621,1526,AF,"Republic of the Congo",CG,"Cuvette Department",CG-8,8,Kelle,0,FCOK,FCOK,KEE,,,https://en.wikipedia.org/wiki/Kelle_Airport,,50,2025-03-22T21:05:21+00:00
31098,FCPG,small_airport,"Kibangou Airport",-3.4830000400543213,12.300000190734863,427,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Kibangou,0,FCPG,,,,,,,50,2008-08-03T11:30:16+00:00
31763,FCBK,small_airport,"Kindamba Airport",-3.749781,14.490264,1460,AF,"Republic of the Congo",CG,"Pool Department",CG-12,12,Kindamba,0,FCBK,FCBK,KNJ,,,https://en.wikipedia.org/wiki/Kindamba_Airport,,50,2024-04-15T18:42:04+00:00
31078,FCBA,small_airport,"La Louila Airport",-4.083000183105469,14.232999801635742,984,AF,"Republic of the Congo",CG,"Pool Department",CG-12,12,"La Louila",0,FCBA,,,,,,,50,2008-08-03T11:29:13+00:00
31798,FCBL,small_airport,"Lague Airport",-2.45,14.533,2756,AF,"Republic of the Congo",CG,"Plateaux Department",CG-14,14,Lague,0,FCBL,FCBL,LCO,,,https://en.wikipedia.org/wiki/Lague_Airport,,50,2024-05-16T19:23:09+00:00
31089,FCML,small_airport,"Leboulou Airport",-2.9000000953674316,12.366999626159668,886,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Leboulou,0,FCML,,,,,,,50,2008-08-03T11:29:48+00:00
31094,FCMY,small_airport,"Legala Airport",-2.2170000076293945,12.833000183105469,2152,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Legala,0,FCMY,,,,,,,50,2008-08-03T11:29:59+00:00
31097,FCPE,small_airport,"Leganda Airport",-3.433000087738037,12.932999610900879,1198,AF,"Republic of the Congo",CG,"Lékoumou Department",CG-2,2,Leganda,0,FCPE,,,,,,,50,2008-08-03T11:30:14+00:00
313916,LKC,small_airport,"Lekana Airport",-2.313,14.606,2634,AF,"Republic of the Congo",CG,"Plateaux Department",CG-14,14,Lekana,0,,,LKC,,,,,50,2015-02-22T13:48:06+00:00
31099,FCPI,small_airport,"Loubetsi Airport",-3.700000047683716,12.133000373840332,328,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Loubetsi,0,FCPI,,,,,,,50,2008-08-03T11:30:18+00:00
31085,FCMF,small_airport,"Loufoula Airport",-3,12,650,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Loufoula,0,FCMF,,,,,,,50,2008-08-03T11:29:39+00:00
31103,FCPY,small_airport,"Loukanyi Airport",-4.048475,11.521568,295,AF,"Republic of the Congo",CG,"Kouilou Department",CG-5,5,Loukanyi,0,FCPY,,,,,,,50,2021-01-27T10:30:30+00:00
31080,FCBT,small_airport,"Loutete Airport",-4.2829999923706055,13.866999626159668,656,AF,"Republic of the Congo",CG,"Bouenza Department",CG-11,11,Loutete,0,FCBT,,,,,,,50,2008-08-03T11:29:26+00:00
